Metropolitan statistical area,36617,40269
"Abilene, TX",160245,165252
"Akron, OH",694960,703200
"Albany, GA",157833,157308
"Albany, OR",103069,116672
"Albany-Schenectady-Troy, NY",825875,870716
"Albuquerque, NM",729649,887077
"Alexandria, LA",145035,153922
"Allentown-Bethlehem-Easton, PA-NJ",740395,821173
"Altoona, PA",129144,127089
"Amarillo, TX",228707,251933
"Ames, IA",79981,89542
"Anchorage, AK",319605,380821
"Ann Arbor, MI",322895,344791
"Anniston-Oxford-Jacksonville, AL",112249,118572
"Appleton, WI",201602,225666
"Asheville, NC",369171,424858
"Athens-Clarke County, GA",166079,192541
"Atlanta-Sandy Springs-Roswell, GA",4263438,5286728
"Atlantic City-Hammonton, NJ",252552,274549
"Auburn-Opelika, AL",115092,140247
"Augusta-Richmond County, GA-SC",508032,564873
"Austin-Round Rock, TX",1249763,1716289
"Bakersfield, CA",661645,839631
"Baltimore-Columbia-Towson, MD",2552994,2710489
"Bangor, ME",144919,153923
"Barnstable Town, MA",222230,215888
"Baton Rouge, LA",705973,802484
"Battle Creek, MI",137985,136146
"Bay City, MI",110157,107771
"Beaumont-Port Arthur, TX",400162,403190
"Beckley, WV",126799,124898
"Bellingham, WA",166814,201140
"Bend-Redmond, OR",115367,157733
"Billings, MT",139946,158934
"Binghamton, NY",252320,251725
"Birmingham-Hoover, AL",1052238,1128047
"Bismarck, ND",100828,114778
"Blacksburg-Christiansburg-Radford, VA",165146,178237
"Bloomington, IL",167231,186133
"Bloomington, IN",142349,159549
"Bloomsburg-Berwick, PA",82387,85562
"Boise City, ID",464840,616561
"Boston-Cambridge-Newton, MA-NH",4391344,4552402
"Boulder, CO/1",269814,294567
"Bowling Green, KY",134976,158599
"Bremerton-Silverdale, WA",231969,251133
"Bridgeport-Stamford-Norwalk, CT",882567,916829
"Brownsville-Harlingen, TX",335227,406220
"Brunswick, GA",93044,112370
"Buffalo-Cheektowaga-Niagara Falls, NY",1170111,1135509
"Burlington, NC",130800,151131
"Burlington-South Burlington, VT",198889,211261
"California-Lexington Park, MD",86211,105151
"Canton-Massillon, OH",406934,404422
"Cape Coral-Fort Myers, FL",440888,618754
"Cape Girardeau, MO-IL",90312,96275
"Carbondale-Marion, IL",120908,126575
"Carson City, NV",52457,55274
"Casper, WY",66533,75450
"Cedar Rapids, IA",237230,257940
"Chambersburg-Waynesboro, PA",129313,149618
"Champaign-Urbana, IL",210275,231891
"Charleston, WV",235938,227078
"Charleston-North Charleston, SC",549033,664607
"Charlotte-Concord-Gastonia, NC-SC",1717372,2217012
"Charlottesville, VA",189644,218705
"Chattanooga, TN-GA",476531,528143
"Cheyenne, WY",81607,91738
"Chicago-Naperville-Elgin, IL-IN-WI",9098316,9461105
"Chico, CA",203171,220000
"Cincinnati, OH-KY-IN",1994830,2114580
"Clarksville, TN-KY",219630,260625
"Cleveland, TN",104015,115788
"Cleveland-Elyria, OH",2148143,2077240
"Coeur d'Alene, ID",108685,138494
"College Station-Bryan, TX",184885,228660
"Colorado Springs, CO",537484,645613
"Columbia, MO",135454,162642
"Columbia, SC",647158,767598
"Columbus, GA-AL",281768,294865
"Columbus, IN",71435,76794
"Columbus, OH",1675013,1901974
"Corpus Christi, TX",403280,428185
"Corvallis, OR",78153,85579
"Crestview-Fort Walton Beach-Destin, FL",211099,235865
"Cumberland, MD-WV",102008,103299
"Dallas-Fort Worth-Arlington, TX",5204126,6426214
"Dalton, GA",120031,142227
"Danville, IL",83919,81625
"Daphne-Fairhope-Foley, AL",140415,182265
"Davenport-Moline-Rock Island, IA-IL",376019,379690
"Dayton, OH",805816,799232
"Decatur, AL",145867,153829
"Decatur, IL",114706,110768
"Deltona-Daytona Beach-Ormond Beach, FL",493175,590289
"Denver-Aurora-Lakewood, CO/1",2179240,2543482
"Des Moines-West Des Moines, IA",481394,569633
"Detroit-Warren-Dearborn, MI",4452557,4296250
"Dothan, AL",130861,145639
"Dover, DE",126697,162310
"Dubuque, IA",89143,93653
"Duluth, MN-WI",275486,279771
"Durham-Chapel Hill, NC",426493,504357
"East Stroudsburg, PA",138687,169842
"Eau Claire, WI",148337,161151
"El Centro, CA",142361,174528
"Elizabethtown-Fort Knox, KY",133896,148338
"Elkhart-Goshen, IN",182791,197559
"Elmira, NY",91070,88830
"El Paso, TX",682966,804123
"Erie, PA",280843,280566
"Eugene, OR",322959,351715
"Evansville, IN-KY",296195,311552
"Fairbanks, AK",82840,97581
"Fargo, ND-MN",174367,208777
"Farmington, NM",113801,130044
"Fayetteville, NC",336609,366383
"Fayetteville-Springdale-Rogers, AR-MO",347045,463204
"Flagstaff, AZ",116320,134421
"Flint, MI",436141,425790
"Florence, SC",193155,205566
"Florence-Muscle Shoals, AL",142950,147137
"Fond du Lac, WI",97296,101633
"Fort Collins, CO",251494,299630
"Fort Smith, AR-OK",255399,280467
"Fort Wayne, IN",390156,416257
"Fresno, CA",799407,930450
"Gadsden, AL",103459,104430
"Gainesville, FL",232392,264275
"Gainesville, GA",139277,179684
"Gettysburg, PA",91292,101407
"Glens Falls, NY",124345,128923
"Goldsboro, NC",113329,122623
"Grand Forks, ND-MN",97478,98461
"Grand Island, NE",77708,81850
"Grand Junction, CO",116255,146723
"Grand Rapids-Wyoming, MI",930670,988938
"Grants Pass, OR",75726,82713
"Great Falls, MT",80357,81327
"Greeley, CO/1",180926,252825
"Green Bay, WI",282599,306241
"Greensboro-High Point, NC",643430,723801
"Greenville, NC",133798,168148
"Greenville-Anderson-Mauldin, SC",725680,824112
"Gulfport-Biloxi-Pascagoula, MS",363988,370702
"Hagerstown-Martinsburg, MD-WV",207828,251599
"Hammond, LA",100588,121097
"Hanford-Corcoran, CA",129461,152982
"Harrisburg-Carlisle, PA",509074,549475
"Harrisonburg, VA",108193,125228
"Hartford-West Hartford-East Hartford, CT",1148618,1212381
"Hattiesburg, MS",123812,142842
"Hickory-Lenoir-Morganton, NC",341851,365497
