Clinical Productivity,,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun
RVUs,,200,200,200,200,200,200,200,,,,,
Clinic Visits,,300,300,300,300,300,300,300,,,,,
# of Clinics,,30,30,30,30,30,30,30,,,,,
wRVU / Clinic,,6.67,6.67,6.67,6.67,6.67,6.67,6.67,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
wRVU / Visit,,0.67,0.67,0.67,0.67,0.67,0.67,0.67,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
# visits / clinic,,10,10,10,10,10,10,10,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
# Hours at VA,,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,
CME Time,,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun
Beginning Balance,,40,40,40,40,32,32,32,32,32,32,32,32
Ending Balance,,40,40,40,32,32,32,32,32,32,32,32,32
,,,,,,,,,,,,,
CME Dollars,,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun
Beginning Balance,,"$5,000.00 ","$5,000.00 ","$5,000.00 ","$5,000.00 ","$4,601.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 "
Ending Balance,,"$5,000.00 ","$5,000.00 ","$5,000.00 ","$4,601.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 ","$3,851.00 "
